OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
204266,4.90E+11,4.90E+11,49,49,10109,3,482,"Salt Lake City-Provo-Orem, UT",39340,"Provo-Orem, UT",601388,231279,261327,3082.205557,6.432013,3075.773543,3033.29693,2954,886,886,0.594,42,0.047404063,222,0.250564334,622,0.702031603,549,138,157,254,0.25136612,992,24,267,42,515,144,24,20,42,67,144,363,85,247,461,232,299,0.464717742,0.292091418,0.973857841,0.327036892,0.007912183,0.088023034,0.01384632,0.169782257,0.047473097,0.007912183,0.006593486,0.01384632,0.022088177,0.047473097,0.119671766,0.028022314,0.081429549,0.619128309,0,1.119638826,0.744145947,0.744145947,0.812425031,0.812425031,0.739039744,0.667080684,0.733561552,0.556266227,0.502787633,0.712524335,0.553427419,0.63981732,5.244369603,0.80364946,1.564116369,2.876603774,21.23287657,1.040388688,6.450409863,0.416155475,20.39161828,2.913088325,-99999,0,0,1,0.208077738,0.000338524,39573,39119,-99999,-99999,0.002896337,0.558648729,0.003037107,0.592837875,-99999,-99999,-99999,-99999,17,19,6,1,8.333333333,18464.75235,12473518.35
204267,4.90E+11,4.90E+11,49,49,10110,1,482,"Salt Lake City-Provo-Orem, UT",39340,"Provo-Orem, UT",601388,231279,261327,1154.940458,59.4665918,1095.473866,1019.69558,1311,351,342,0.434,0,0,60,0.175438596,282,0.824561404,523,121,129,273,0.231357553,388,16,5,159,150,58,16,5,159,16,58,116,18,0,150,134,104,0.386597938,0.34422038,1.285677829,0.380505719,0.015690957,0.004903424,0.15592889,0.147102726,0.056879721,0.015690957,0.004903424,0.15592889,0.015690957,0.056879721,0.113759442,0.017652327,0,0.724726099,0,1.134502924,0.748491939,0.748491939,0.756537069,0.707956022,0.743091326,0.711918768,0.734613071,0.594830457,0.456739258,0.851811196,1.347938144,0.706142554,8.696674469,0,0.836551597,7.860122872,29.41499655,0,1.168444122,3.505332367,26.28999275,7.594886794,-99999,0,0,-99999,-99999,-99999,44997,43360,-99999,-99999,0.003293318,0.635218883,0.003366368,0.657109084,-99999,-99999,-99999,-99999,17,16,7,1,8.166666667,11741.82959,4673981.117
204268,4.90E+11,4.90E+11,49,49,10111,1,482,"Salt Lake City-Provo-Orem, UT",39340,"Provo-Orem, UT",601388,231279,261327,1285.290897,64.4750617,1220.815835,1190.23098,3510,817,817,0.48,0,0,75,0.091799266,742,0.908200734,1160,274,328,558,0.236206897,83,2,4,60,17,0,2,4,60,5,0,8,4,0,26,34,23,0.313253012,0.686421387,2.949007427,0.069734364,0.001680346,0.003360692,0.050410383,0.014282942,0,0.001680346,0.003360692,0.050410383,0.004200865,0,0.006721384,0.003360692,0,0.756155751,0,0.101591187,0.573662462,0.49412595,0.564456449,0.486366251,0.236722655,0.176012388,0.15645282,7.63E-06,0.046200946,0.133547868,13.97590361,2.32E-06,9.261471012,1.261684827,1.157696952,6.842089233,26.39651212,0.524239596,3.145437574,1.048479191,26.21197979,5.766635553,-99999,0,0,-99999,-99999,-99999,42202,41578,-99999,-99999,0.003088753,0.595762102,0.003228018,0.630103355,-99999,-99999,-99999,-99999,4,8,7,1,4.666666667,11236.44101,5201496.715
204269,4.90E+11,4.90E+11,49,49,10111,2,482,"Salt Lake City-Provo-Orem, UT",39340,"Provo-Orem, UT",601388,231279,261327,339.3760356,0,339.3760356,325.35185,2976,879,848,0.481,0,0,214,0.252358491,634,0.747641509,1483,369,356,758,0.24881996,125,6,0,50,30,39,6,0,50,18,39,0,12,0,63,45,17,0.504,2.701690493,9.147020372,0.384199444,0.018441573,0,0.153679778,0.092207867,0.119870227,0.018441573,0,0.153679778,0.05532472,0.119870227,0,0.036883147,0,3.085889937,0,0.14740566,0.878732187,0.756898707,0.857258466,0.663497505,0.335498131,0.425242164,0.447488001,0.10170651,0.080619155,0.155472637,11.864,1.91E-05,21.45622153,0,2.743609437,18.71261209,125.1388299,0,16.9723239,3.771627533,122.5778948,28.2872065,-99999,0,0,-99999,-99999,-99999,52822,50993,-99999,-99999,0.003866027,0.745683753,0.003958977,0.772785136,-99999,-99999,-99999,-99999,6,14,16,1,9,4956.131659,1373433.528
204270,4.90E+11,4.90E+11,49,39,972100,1,,,,,0,0,0,127659.2379,206.6230432,127452.6149,71661.86155,1383,1323,478,0.58,0,0,57,0.119246862,421,0.880753138,496,169,166,161,0.340725806,177,21,16,40,74,26,21,0,40,21,26,45,8,16,70,64,43,0.395480226,0.018461703,0.019298968,0.002469933,0.000293043,0.000223271,0.000558177,0.001032627,0.000362815,0.000293043,0,0.000558177,0.000293043,0.000362815,0.000627949,0.000111635,0.000223271,0.020931636,0,0.370292887,0.902570106,0.902570106,0.939958126,0.879598691,0.544732377,0.63635523,0.683498369,0.730633671,0,0,2.802259887,0.164925753,1.256476737,0.092318725,0.055480118,1.108677894,1.249202146,0.055236215,0.070300637,0.02510737,1.516485167,0.165708644,-99999,0,0,-99999,-99999,-99999,320,695,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,11,20,2,1,6.166666667,108814.8861,516629940.5
204271,4.90E+11,4.90E+11,49,39,972200,1,,,,,0,0,0,148245.9635,362.5693358,147883.3941,111329.83,2157,843,672,0.588,8,0.011904762,168,0.25,496,0.738095238,687,202,252,233,0.294032023,722,6,155,387,150,24,6,139,387,21,24,119,10,16,157,281,284,0.217451524,0.007572095,0.019374861,0.006485234,5.39E-05,0.001392259,0.003476157,0.001347348,0.000215576,5.39E-05,0.001248542,0.003476157,0.000188629,0.000215576,0.001068896,8.98E-05,0.000143717,0.014057329,0,1.074404762,0.710801794,0.710801794,0.648318998,0.648318998,0.717180977,0.673400812,0.654963563,0.953072166,0,0,0.951523546,0.952679771,1.199676889,0.11945859,0.046392601,1.033825698,0.94807237,0.177437096,0.134159755,0.073571479,0.761681192,0.276974979,-99999,0,0,-99999,-99999,-99999,1313,1521,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,17,13,1,1,5.666666667,182400.8731,599943241.1
204272,4.90E+11,4.90E+11,49,39,972100,6,,,,,0,0,0,57517.01851,5.9276819,57511.09083,29785.92306,1434,709,547,0.529,5,0.009140768,92,0.168190128,450,0.822669104,483,163,156,164,0.33747412,20,0,2,5,11,2,0,2,5,11,2,0,0,0,11,5,4,0.55,0.02380319,0.048143547,0.000671458,0,6.71E-05,0.000167865,0.000369302,6.71E-05,0,6.71E-05,0.000167865,0.000369302,6.71E-05,0,0,0,0.024474649,0,0.036563071,0.81937934,0.705774948,0.81937934,0.546252894,0.119723247,0.164887823,0.176655419,3.43E-06,0,0,24.15,8.83E-11,1.46845883,0.172090234,0.067534649,1.228833948,1.973902396,0.311592073,0.089026307,0.211437478,1.368779463,0.79010847,-99999,0,0,-99999,-99999,-99999,744,1320,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,2,10,2,1,3,79200.90199,232768196.4
204273,4.90E+11,4.90E+11,49,39,972500,1,,,,,0,0,0,29617.7722,0.7081886,29617.06401,7049.56625,1628,590,520,0.502,22,0.042307692,127,0.244230769,371,0.713461538,548,181,180,187,0.330291971,254,21,111,22,87,13,21,12,22,13,13,60,14,99,101,93,60,0.397637795,0.083693092,0.230936194,0.036030586,0.002978907,0.01574565,0.003120759,0.012341185,0.001844085,0.002978907,0.001702232,0.003120759,0.001844085,0.001844085,0.008511162,0.001985938,0.014043417,0.119723678,0,0.488461538,0.807023077,0.807023077,0.834023696,0.834023696,0.591100836,0.622693885,0.678434581,0.672451428,0,0,2.157480315,0.314277063,1.221030884,0,0.007930238,1.213100646,1.476921547,0,0.043218328,0,0.842757405,0.885975733,-99999,0,0,-99999,-99999,-99999,963,1435,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,13,20,2,1,6.5,72484.36024,119861499.9
204274,4.90E+11,4.90E+11,49,39,972100,4,,,,,0,0,0,69667.99817,279.5281685,69388.47001,32903.37559,1420,622,473,0.511,10,0.021141649,46,0.097251586,417,0.881606765,490,175,165,150,0.357142857,417,6,17,63,317,14,6,9,63,33,14,152,132,8,154,151,112,0.369304556,0.018903836,0.043156666,0.012673472,0.000182352,0.000516664,0.001914697,0.00963427,0.000425488,0.000182352,0.000273528,0.001914697,0.001002937,0.000425488,0.004619587,0.004011746,0.000243136,0.031577307,0,0.881606765,0.496688916,0.496688916,0.746288629,0.746288629,0.594785171,0.493219484,0.524575768,0.597226335,0,0,1.175059952,0.839406695,1.519262288,0.03511688,0.002913942,1.481231466,1.599371192,0.027670303,0.009223434,0.009223434,1.918474352,0.304373335,-99999,0,0,-99999,-99999,-99999,1049,1270,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,13,17,2,1,6,90052.43932,281942589.7
204275,4.90E+11,4.90E+11,49,39,972200,2,,,,,0,0,0,8469.33372,6.4816801,8462.85204,8458.2987,1677,531,493,0.525,3,0.006085193,64,0.129817444,426,0.864097363,451,139,167,145,0.308203991,401,37,37,84,225,18,37,22,84,29,18,175,21,15,166,144,91,0.413965087,0.062778582,0.198266822,0.047409061,0.004374402,0.004374402,0.009931075,0.026601094,0.002128088,0.004374402,0.002600996,0.009931075,0.003428585,0.002128088,0.02068974,0.002482769,0.001773406,0.110187643,0,0.813387424,0.764711013,0.764711013,0.805548485,0.805548485,0.691997321,0.630176722,0.669676001,0.679310326,0,0,1.124688279,0.882772038,2.856671592,0.379681615,0.259277309,2.217712669,6.02629938,0.604996989,0.831870859,0.151249247,3.781231179,2.798111073,-99999,0,0,-99999,-99999,-99999,1151,1394,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,16,19,4,1,7.5,33512.10082,34274925.86
204276,4.90E+11,4.90E+11,49,39,972300,1,,,,,0,0,0,228220.1041,5550.657461,222669.4466,109503.5365,3122,318,286,0.834,1,0.003496503,51,0.178321678,234,0.818181818,558,193,196,169,0.345878136,334,0,188,122,24,0,0,2,122,10,0,0,14,186,34,98,202,0.101796407,0.002904016,0.028510495,0.00305013,0,0.00171684,0.001114119,0.000219171,0,0,1.83E-05,0.001114119,9.13E-05,0,0,0.00012785,0.001698575,0.005954146,0,1.167832168,0.80151781,0.547121022,0.598049189,0.462875738,0.840017879,0.540518672,0.500901526,0.358057441,0,0,1.670658683,0.511371635,0.751949522,0.073497966,0.003114461,0.675337095,0.248251751,0.083352253,0.005748431,0,0.32766058,0.025867941,-99999,0,0,-99999,-99999,-99999,1268,1262,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,19,7,1,1,5,178452.7822,923594190.4
204277,4.90E+11,4.90E+11,49,39,972500,2,,,,,0,0,0,5959.159475,361.7991251,5597.36035,4982.41859,1880,662,613,0.545,9,0.014681892,93,0.151712887,511,0.83360522,777,277,253,247,0.356499356,458,13,114,78,182,71,13,42,78,25,71,143,14,72,171,124,163,0.373362445,0.132867199,0.377326787,0.091923228,0.002609175,0.022880454,0.015655048,0.036528444,0.014250107,0.002609175,0.008429641,0.015655048,0.005017643,0.014250107,0.028700921,0.00280988,0.014450813,0.224790427,0,0.747145188,0.872626041,0.872626041,0.880191625,0.880191625,0.71618326,0.694169177,0.746286991,0.749283365,0,0,1.69650655,0.498323133,4.001376642,0.077082749,0.209963106,3.714330788,12.1218281,0.22867922,0.686037661,1.257735711,4.802263624,7.203395437,-99999,0,0,-99999,-99999,-99999,1120,1610,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,17,20,5,1,8.166666667,28032.75489,24116384.64
204278,4.90E+11,4.90E+11,49,39,972100,2,,,,,0,0,0,2398.683961,0,2398.683961,2398.683961,889,369,307,0.512,8,0.026058632,74,0.241042345,225,0.732899023,305,104,110,91,0.340983607,69,2,1,55,11,0,2,1,55,3,0,0,8,0,17,25,27,0.246376812,0.153834355,0.370619896,0.028765774,0.000833791,0.000416895,0.02292924,0.004585848,0,0.000833791,0.000416895,0.02292924,0.001250686,0,0,0.003335162,0,0.182600129,0,0.2247557,0.459852576,0.396095449,0.454136046,0.351490414,0.368862741,0.274177646,0.231603634,0.003085244,0,0,4.420289855,0.032702954,4.148362477,0.655518402,0.206292643,3.286551432,9.961995989,1.067251894,0,1.600877841,2.934942708,6.403511363,-99999,0,0,-99999,-99999,-99999,515,868,-99999,-99999,0,0,0,0,-99999,-99999,-99999,-99999,6,5,5,1,3.833333333,17033.97604,9707342.47
